Name,R,G,B
N01,158,98,109
N02,158,98,109
N87,191,64,255
N85,140,91,0
N84,140,91,0
N15,224,146,0
N64,39,105,227
N86,49,107,214
N53,73,122,214
N69,102,138,204
N69_down,102,138,204
S04,0,225,255
N71,102,185,204
AL02,166,161,161
AL02_1,166,161,161
AL02_2,166,161,161
角鋁,133,169,255
角鋁1,133,169,255
角鋁2,133,169,255
角鋁3,133,169,255
N78,87,207,155
N07,83,94,115
N09,255,128,219
N08,101,103,235
AluBlock,196,196,196
N65,155,157,232
S02,128,255,191
S02_1,128,255,191
N35,177,155,232
N32,24,150,87
N20,79,199,255
N20_down,79,199,255
N20_up,79,199,255
N19,142,159,189
F10,232,74,206
N76,0,128,21
S07,255,142,128
SSL,255,185,87
SSL_2,255,185,87
F10,255,41,194
F19,87,235,255
N66,115,178,66
N67,115,178,66
N68,115,178,66
N28,115,178,66
N77,115,178,66
N66,115,178,66
N79a,115,178,66
N79,115,178,66
N29,115,178,66
AL01,117,117,117
N60,255,128,0
F20,191,63,63
F11,191,63,63
N59,0,128,0
F24,63,191,127
N60,255,128,0
N58,128,255,0
N56,0,255,0
F22,252,83,83
S09,252,154,83
S08,252,207,83
S06,252,207,83
S01,207,165,50
AL01_sm,117,117,117
AL01_飾條,178,178,178
N66up,115,178,66
N66dn,115,178,66
N67_bridge,115,178,66
N68_bridge,115,178,66
L_25x25x3,255,149,0
